marca,nome,descricao,familia,genero,categoria,notas_topo,notas_coracao,notas_base,image_url,tipo_produto,tamanho_original_ml,tamanhos_disponivel,codigo_lote,qty_ml,custo_total,warehouse_id,fornecedor,data_validade,margem_percentual
French Avenue,Liquid Brun,"Introdução: Âmbar amadeirado de nuance escura, doce na medida e com madeiras polidas. Perfil: Âmbar Amadeirado. Sensação & Estilo: Aconchego elegante e moderno. Ocasiões: Noite e meia‑estação.",Âmbar Amadeirado,Unissex,Árabe,"Açafrão, Bergamota","Âmbar, Madeiras","Baunilha, Fava tonka, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/liquid-brun-catalogo-fiel-1758216364846-gm4i7m.png,decant,100.0,"[5, 10]",Liquid-Brun-0001,100.0,303.4,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Eclaire,"Introdução: Gourmand cremoso inspirado na confeitaria francesa; baunilha suculenta com toque de cacau e caramelo. Perfil: Baunilha Gourmand. Sensação & Estilo: Doce, confortável e instagramável. Ocasiões: Dia/noite casual, clima ameno a frio.",Gourmand,Feminino,Árabe,"Açúcar queimado, Cacau","Creme de baunilha, Flor de laranjeira","Caramelo, Sândalo, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/lattafa-eclaire.png,decant,100.0,"[5, 10]",Eclaire-0001,100.0,223.4,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Victoria,"Introdução: Floral frutado clássico com aura feminina e romântica; fácil de agradar e de usar. Perfil: Floral Frutado. Sensação & Estilo: Delicado, alegre e elegante. Ocasiões: Dia a dia e encontros.",Floral,Feminino,Árabe,"Frutas vermelhas, Bergamota","Rosa, Peônia, Jasmim","Almíscar, Baunilha, Cedro",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/victoria-lattafa-catalogo-1758216378766-h1gb1q.png,decant,100.0,"[5, 10]",Victoria-0001,100.0,253.4,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Asad,"Introdução: Âmbar especiado encorpado, doce na medida e com toque de incenso; presença noturna inconfundível. Perfil: Âmbar Especiado. Sensação & Estilo: Quente, confiante e sedutor. Ocasiões: Noite e clima ameno/frio.",Âmbar Especiado,Masculino,Árabe,"Pimenta-preta, Abacaxi (traço)","Incenso, Patchouli, Lavanda","Baunilha, Benjoim, Âmbar, Ambroxan",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/lattafa-asad.png,decant,100.0,"[5, 10]",Asad-0001,100.0,164.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Yara,"Introdução: O best-seller cremoso da linha: frutas macias, flores aveludadas e uma nuvem de baunilha viciante. Perfil: Floral Frutado Gourmand. Sensação & Estilo: Romântico, fofo e confortável. Ocasiões: Dia a dia e encontros.",Floral Gourmand,Feminino,Árabe,"Mandarina, Heliotrópio","Orquídea, Notas frutadas cremosas","Baunilha, Sândalo, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/yara-lattafa-cata-logo-1-1-1758216381485-3dofez.jpg,decant,100.0,"[5, 10]",Yara-0001,100.0,224.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Al Wataniah,Sabah Al Ward,"Introdução: Bouquet de rosas frescas com frescor cítrico e base almiscarada limpa — romântico e elegante. Perfil: Floral Rosado. Sensação & Estilo: Leve, feminino e delicado. Ocasiões: Dia e primavera.",Floral,Feminino,Árabe,"Limão, Bergamota","Rosa, Peônia","Almíscar, Âmbar claro, Cedro",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/sabah-al-ward-catalogo-1758216377512-i9gfff.png,decant,100.0,"[5, 10]",Sabah-Al-Ward-0001,100.0,160.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Bade'e Al Oud,Introdução: Oud especiado imponente com rastro luxuoso; mistura de especiarias vibrantes sobre madeiras nobres. Perfil: Amadeirado Especiado (Oud). Sensação & Estilo: Carismático e marcante. Ocasiões: Noite e frio.,Amadeirado/Oriental,Unissex,Árabe,"Açafrão, Lavanda, Noz-moscada","Oud (agarwood), Patchouli","Almíscar, Âmbar, Notas amadeiradas",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/lattafa-badee-al-oud-glory.png,decant,100.0,"[5, 10]",Bade'e-Al-Oud-0001,100.0,160.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Armaf,Clube De Nuit Intense Man,"Introdução: Clássico cítrico‑amadeirado com abacaxi vibrante e fundo esfumaçado-ambarado; presença segura e sedutora. Perfil: Chipre Amadeirado. Sensação & Estilo: Confiante e versátil. Ocasiões: Dia/noite, meia‑estação.",Chipre Amadeirado,Masculino,Árabe,"Limão, Abacaxi, Bergamota, Groselha‑preta, Maçã","Bétula, Jasmim, Rosa","Almíscar, Âmbar cinzento, Patchouli, Baunilha",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/armaf-club-de-nuit-intense-man.png,decant,105.0,"[5, 10]",Clube-De-Nuit-Intense-Man-0001,105.0,135.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Yara Candy,"Introdução: O lado mais docinho da família Yara — frutas coloridas e baunilha cremosa com toque de marshmallow. Perfil: Gourmand Frutado. Sensação & Estilo: Jovem, divertido e instagramável. Ocasiões: Dia/noite casual.",Gourmand,Feminino,Árabe,"Frutas vermelhas, Pera","Jasmim, Flor de laranjeira","Baunilha, Marshmallow, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/lattafa-yara-candy-cata-logo-revisado-1-1-1758216359324-hmkdwk.png,decant,100.0,"[5, 10]",Yara-Candy-0001,100.0,134.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Atheeri,Introdução: Floral âmbar com rosa e jasmim luminosos apoiados por baunilha cremosa — assinatura feminina e envolvente. Perfil: Âmbar Floral. Sensação & Estilo: Romântico e sofisticado. Ocasiões: Dia/noite.,Floral/Âmbar,Feminino,Árabe,"Rosa, Açafrão","Jasmim, Âmbar","Baunilha, Sândalo, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-y5gy5fy5gy5fy5gy-1758216355262-l68uxi.png,decant,100.0,"[5, 10]",Atheeri-0001,100.0,294.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Lattafa,Classic Stone,"Introdução: Cítrico‑mineral elegante com especiarias discretas e base de vetiver e cedro – limpeza sofisticada. Perfil: Amadeirado Cítrico. Sensação & Estilo: Masculino, moderno e versátil. Ocasiões: Escritório e dias quentes.",Amadeirado/Cítrico,Masculino,Árabe,"Laranja, Toranja","Pimenta, Acorde mineral","Vetiver, Cedro, Benjoim, Patchouli",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/niche-emarati-classic-stone.png,decant,100.0,"[5, 10]",Classic-Stone-0001,100.0,284.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
French Avenue,Liquid Brun,"Introdução: Âmbar amadeirado de nuance escura, doce na medida e com madeiras polidas. Perfil: Âmbar Amadeirado. Sensação & Estilo: Aconchego elegante e moderno. Ocasiões: Noite e meia‑estação.",Âmbar Amadeirado,Unissex,Árabe,"Açafrão, Bergamota","Âmbar, Madeiras","Baunilha, Fava tonka, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/liquid-brun-catalogo-fiel-1758216364846-gm4i7m.png,decant,100.0,"[5, 10]",Liquid-Brun-0002,100.0,364.21,452706ff-4e80-4961-a449-21f4981e08b5,Onuh Shop,00/00/0000,80
Givenchy,Gentleman Society,Introdução: Amadeirado moderno com destaque para a dupla de vetiver e um toque de café; elegante e urbano. Perfil: Amadeirado Aromático. Sensação & Estilo: Refinado e contemporâneo. Ocasiões: Noite leve e eventos.,Amadeirado,Masculino,Importado,"Cardamomo, Sálvia","Narciso, Gerânio, Vetiver","Vetiver, Baunilha, Sândalo, Cedro",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gentleman-society-cata-logo-1-1-fiel-1758216356816-diuue8.png,decant,100.0,"[5, 10]",Gentleman-Society-0001,100.0,533.77,452706ff-4e80-4961-a449-21f4981e08b5,Argentina,00/00/0000,80
Burberry,Goddess Intense,"Introdução: Evolução mais densa da assinatura de baunilha com lavanda; cremoso, sofisticado e envolvente. Perfil: Âmbar Baunilha. Sensação & Estilo: Elegante e aconchegante. Ocasiões: Noite e clima ameno/frio.",Âmbar Baunilha,Feminino,Importado,"Lavanda, Pera (traço)",Acorde de baunilha (infusão),"Baunilha, Fava tonka, Âmbar, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-lkmb0xlkmb0xlkmb-1758216351529-hkryfs.png,decant,100.0,"[5, 10]",Goddess-Intense-0001,100.0,533.77,452706ff-4e80-4961-a449-21f4981e08b5,Argentina,00/00/0000,80
Parfums de Marly,Delina,Introdução: Floral rosado vibrante que combina ruibarbo picante e lichia com rosa turca cremosa – luxo e feminilidade. Perfil: Floral Rosa Frutado. Sensação & Estilo: Romântico e sofisticado. Ocasiões: Dia/noite e ocasiões especiais.,Floral,Feminino,Nicho,"Ruibarbo, Lichia, Bergamota, Noz-moscada","Rosa turca, Peônia, Baunilha","Cashmeran, Almíscar, Vetiver, Incenso",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/perfume-delina-parfums-de-marly-cata-logo-1758216372762-yljgls.png,decant,75.0,"[2, 5]",Delina-0001,75.0,1646.61,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Tom ford,Ombré Leather,Introdução: Couro aveludado com coração floral escuro e calor ambarado – sexy e cinematográfico. Perfil: Couro Ambarado. Sensação & Estilo: Sofisticado e marcante. Ocasiões: Noite e clima ameno/frio.,Couro,Unissex,Nicho,Cardamomo,"Jasmim sambac, Couro","Patchouli, Âmbar, Musgo",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/perfume-tom-ford-ombre-leather-cata-logo-1758216373970-rdrivg.png,decant,100.0,"[2, 5]",Ombré-Leather-0001,100.0,1479.81,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Reyane Tradition,Oud Gourmand,Introdução: Oud polido com coração gourmand de caramelo e baunilha; viciante e acolhedor. Perfil: Âmbar Oud Gourmand. Sensação & Estilo: Envolvente e sedutor. Ocasiões: Noite e meia‑estação/frio.,Amadeirado/Âmbar,Unissex,Nicho,"Açafrão, Frutas secas","Oud, Caramelo/Praliné","Baunilha, Fava tonka, Sândalo",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-3odxyq3odxyq3odx-1758217590116-9nk9t4.png,decant,85.0,"[2, 5]",Oud-Gourmand-0001,85.0,534.61,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Reyane Tradition,Amana,"Introdução: Floral almiscarado sereno com pera suculenta e bouquet branco sobre base âmbar macia. Perfil: Floral Almiscarado. Sensação & Estilo: Limpo, delicado e elegante. Ocasiões: Dia a dia e trabalho.",Floral/Âmbar,Feminino/Unissex,Nicho,"Pera, Bergamota","Jasmim, Rosa","Almíscar, Âmbar, Sândalo",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-71vh0r71vh0r71vh-1758217592081-i96vhs.png,decant,85.0,"[2, 5]",Amana-0001,85.0,534.61,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Sospiro,Sospiro Erba Magica,"Introdução: Frescor herbáceo‑cítrico com base cremosa e sofisticada – versátil e elegante. Perfil: Aromático Cítrico. Sensação & Estilo: Limpo e refinado. Ocasiões: Dia, calor e meia‑estação.",Aromático,Unissex,Nicho,"Limão, Bergamota","Lavanda, Ervas verdes","Baunilha, Almíscar, Madeira clara",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/sospiro-terra-pura-magica.png,decant,100.0,"[2, 5]",Sospiro-Erba-Magica-0001,100.0,1146.21,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Jean Paul Gaultier,Scandal Absolu Pour Homme,Introdução: A leitura mais densa e sensual de Scandal – dulçor ambarado com especiarias e madeiras quentes. Perfil: Âmbar Especiado Doce. Sensação & Estilo: Ousado e festivo. Ocasiões: Noite e clima ameno/frio.,Âmbar,Masculino,Importado,"Grapefruit, Sálvia","Caramelo, Fava tonka","Vetiver, Sândalo, Âmbar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-h6d7puh6d7puh6d7-1758217595748-jgjn1v.png,decant,100.0,"[5, 10]",Scandal-Absolut-Pour-Homme-0001,100.0,490.83,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Lattafa,Fakhar Black,"Introdução: Aromático moderno fresco‑doce, unindo maçã e gengibre sobre sálvia com fundo amadeirado‑ambarado. Perfil: Aromático Amadeirado. Sensação & Estilo: Jovem e sexy. Ocasiões: Dia/noite, todas as estações.",Aromático,Masculino,Árabe,"Maçã, Bergamota, Gengibre","Sálvia, Zimbro, Gerânio","Vetiver, Cedro, Fava tonka, Acorde amadeirado âmbar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-kaytggkaytggkayt-1758216350169-di3job.png,decant,100.0,"[5, 10]",Fakhar-Black-0001,100.0,155.59,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Lattafa,Asad Bourbon,"Introdução: Versão mais quente e licorosa do Asad, com canela e rum/bourbon sobre baunilha sedosa. Perfil: Âmbar Gourmand Especiado. Sensação & Estilo: Envolvente e noturno. Ocasiões: Noite e clima ameno/frio.",Âmbar,Masculino,Árabe,"Canela, Pimenta","Rum/Bourbon (acorde), Âmbar","Baunilha, Madeiras, Fava tonka",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-k8nv20k8nv20k8nv-1758216348861-eqjpbx.png,decant,100.0,"[5, 10]",Asad-Bourbon-0001,100.0,164.26,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Lattafa,Atheeri,Introdução: Floral âmbar com rosa e jasmim luminosos apoiados por baunilha cremosa — assinatura feminina e envolvente. Perfil: Âmbar Floral. Sensação & Estilo: Romântico e sofisticado. Ocasiões: Dia/noite.,Floral/Âmbar,Feminino,Árabe,"Rosa, Açafrão","Jasmim, Âmbar","Baunilha, Sândalo, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-y5gy5fy5gy5fy5gy-1758216355262-l68uxi.png,decant,100.0,"[5, 10]",Atheeri-0002,100.0,186.51,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Armaf,Club De Nuit Maleka,"Introdução: Floral frutado radiante com rastro doce-sedoso — glamouroso e marcante. Perfil: Floral Frutado Gourmand. Sensação & Estilo: Feminino e sofisticado. Ocasiões: Noite, eventos e encontros.",Floral/Gourmand,Feminino,Árabe,"Cítricos, Maçã","Rosa, Jasmim","Baunilha, Sândalo, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-vzb3kgvzb3kgvzb3-1758216353388-98893o.png,decant,100.0,"[5, 10]",Club-De-Nuit-Maleka-0001,100.0,236.51,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Orientica,Azure Fantasy,"Introdução: Cítrico‑aromático arejado com neróli luminoso, chá preto e gengibre sobre base moderna de ambroxan — elegância limpa. Inspirado no Imagination (LV). Perfil: Cítrico Aromático. Sensação & Estilo: Minimalista, fresco e sofisticado. Ocasiões: Dia a dia, calor e meia‑estação.",Cítrico Aromático,Unissex,Árabe,"Cidra/limão, Bergamota, Neróli","Chá preto, Gengibre, Canela (traço)","Ambroxan/Âmbar moderno, Cedro, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/orientica-azure-fantasy-cata-logo-1-1-1758216368385-u70gj4.png,decant,80.0,"[5, 10]",Azure-Fantasy-0001,80.0,340.55,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Orientica,Royal Victory,Introdução: Chipre frutado imponente com madeiras secas e âmbar cinza para um rastro de liderança. Perfil: Chipre Amadeirado. Sensação & Estilo: Elegante e assertivo. Ocasiões: Dia/noite e meia‑estação.,Chipre,Masculino,Árabe,"Abacaxi, Maçã, Bergamota","Bétula, Jasmim, Rosa","Almíscar, Âmbar cinzento, Patchouli, Baunilha",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-jt6t04jt6t04jt6t-1758216346728-mkhw4h.png,decant,80.0,"[5, 10]",Royal-Victory-0001,80.0,467.71,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Prada,Prada Paradoxe Intense,"Introdução: Versão mais profunda da assinatura floral‑âmbar da linha; neróli e jasmim envoltos em baunilha moderna. Perfil: Âmbar Floral. Sensação & Estilo: Sofisticado e feminino. Ocasiões: Do dia à noite, todas as estações.",Âmbar Floral,Feminino,Importado,"Neróli, Bergamota, Pera","Jasmim, Flor de laranjeira","Âmbar (Ambrofix), Baunilha, Almíscar",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/prada-paradoxe-intense-cata-logo-1-1-1758216375711-9ozglx.png,decant,90.0,"[5, 10]",Prada-Paradoxe-Intense-0001,90.0,791.39,452706ff-4e80-4961-a449-21f4981e08b5,Paraguai,00/00/0000,80
Jo Malone,Myrrh & Tonka,Introdução: Mirra balsâmica envolta em tonka cremosa e toques de lavanda — conforto luxuoso e sofisticado. Perfil: Âmbar Baunilha Resinosa. Sensação & Estilo: Íntimo e elegante. Ocasiões: Noite e clima ameno/frio.,Âmbar/Oriental,Unissex,Nicho,Lavanda,Mirra,"Fava tonka, Baunilha, Amêndoa",https://vjlfwmwhvxlicykqetnk.supabase.co/storage/v1/object/public/perfume-images/gemini-generated-image-brojeabrojeabroj-1758217593799-74wsan.png,decant,50.0,"[2, 5]",Myrrh-&-Tonka-0001,50.0,1350.0,452706ff-4e80-4961-a449-21f4981e08b5,Jo Malone,00/00/0000,80
